Date,Open,High,Low,Close
2019-07-22,134000.0,135500.0,132000.0,133000.0
2019-07-23,133500.0,133500.0,128500.0,132000.0
2019-07-24,131500.0,133500.0,131500.0,132500.0
2019-07-25,131500.0,133500.0,130000.0,131500.0
2019-07-26,130500.0,132500.0,130000.0,130500.0
2019-07-29,130000.0,131000.0,126500.0,128000.0
2019-07-30,129000.0,129500.0,126500.0,128000.0
2019-07-31,126500.0,129000.0,126500.0,126500.0
2019-08-01,126500.0,130000.0,125000.0,125500.0
2019-08-02,126000.0,128500.0,124500.0,127500.0
2019-08-05,127500.0,128000.0,125500.0,127500.0
2019-08-06,126000.0,127500.0,123000.0,126000.0
2019-08-07,126500.0,129000.0,126500.0,127000.0
2019-08-08,129000.0,132500.0,128500.0,130000.0
2019-08-09,131500.0,132500.0,129000.0,132500.0
2019-08-12,131000.0,132500.0,130000.0,131000.0
2019-08-13,129500.0,131000.0,129000.0,129000.0
2019-08-14,130000.0,131500.0,127000.0,127500.0
2019-08-16,126500.0,128000.0,125000.0,128000.0
2019-08-19,127500.0,129500.0,127500.0,128000.0
2019-08-20,127500.0,128500.0,125000.0,126500.0
2019-08-21,126500.0,127500.0,124000.0,125500.0
2019-08-22,126000.0,126500.0,124000.0,124000.0
2019-08-23,123000.0,126000.0,123000.0,126000.0
2019-08-26,124000.0,126000.0,123500.0,124500.0
2019-08-27,125000.0,126500.0,124000.0,125000.0
2019-08-28,128500.0,130500.0,127000.0,127500.0
2019-08-29,127500.0,128000.0,126000.0,126500.0
2019-08-30,127500.0,129000.0,127000.0,128500.0
2019-09-02,128000.0,132000.0,127500.0,131000.0
2019-09-03,131500.0,132000.0,127500.0,128500.0
2019-09-04,128000.0,129000.0,127000.0,128500.0
2019-09-05,128000.0,129000.0,127000.0,128000.0
2019-09-06,128000.0,128500.0,126500.0,127500.0
2019-09-09,127500.0,128500.0,126000.0,127000.0
2019-09-10,127000.0,128500.0,126500.0,128000.0
2019-09-11,128500.0,129000.0,127500.0,129000.0
2019-09-16,128500.0,129500.0,126000.0,128000.0
2019-09-17,127500.0,128000.0,125500.0,126000.0
2019-09-18,126000.0,128500.0,125500.0,127500.0
2019-09-19,127500.0,129000.0,126500.0,129000.0
2019-09-20,128500.0,130500.0,128000.0,129500.0
2019-09-23,129500.0,133500.0,129000.0,133000.0
2019-09-24,134000.0,135000.0,132000.0,134000.0
2019-09-25,133000.0,135000.0,131500.0,134500.0
2019-09-26,136000.0,136500.0,132000.0,133000.0
2019-09-27,134000.0,134000.0,131000.0,133500.0
2019-09-30,133500.0,135500.0,133000.0,134000.0
2019-10-01,134000.0,134000.0,131500.0,132500.0
2019-10-02,131000.0,131500.0,128000.0,128500.0
2019-10-04,129500.0,130000.0,126500.0,126500.0
2019-10-07,128000.0,129000.0,127000.0,128000.0
2019-10-08,128000.0,130500.0,127500.0,129500.0
2019-10-10,127000.0,128000.0,125500.0,126500.0
2019-10-11,127000.0,127500.0,126000.0,126000.0
2019-10-14,125000.0,126000.0,122000.0,122000.0
2019-10-15,122000.0,123000.0,120500.0,122000.0
2019-10-16,123000.0,124000.0,122000.0,123000.0
2019-10-17,123000.0,124500.0,122000.0,123000.0
2019-10-18,123500.0,124500.0,122500.0,123000.0
2019-10-21,124000.0,124000.0,122000.0,122000.0
2019-10-22,121500.0,122500.0,120000.0,122000.0
2019-10-23,121500.0,122500.0,120500.0,121000.0
2019-10-24,121000.0,122500.0,120000.0,122000.0
2019-10-25,122000.0,124000.0,121500.0,123500.0
2019-10-28,124500.0,125000.0,121500.0,121500.0
2019-10-29,122000.0,123000.0,121500.0,122500.0
2019-10-30,122500.0,123000.0,121500.0,122500.0
2019-10-31,122500.0,123500.0,121500.0,122000.0
2019-11-01,121500.0,124000.0,121000.0,124000.0
2019-11-04,123500.0,125000.0,123000.0,124000.0
2019-11-05,124000.0,125500.0,124000.0,125000.0
2019-11-06,125500.0,126000.0,123500.0,123500.0
2019-11-07,123500.0,124500.0,123000.0,123500.0
2019-11-08,124000.0,124500.0,123500.0,124000.0
2019-11-11,124000.0,124500.0,123500.0,123500.0
2019-11-12,123500.0,125500.0,123500.0,125500.0
2019-11-13,125000.0,126000.0,124500.0,124500.0
2019-11-15,124500.0,125500.0,124000.0,125500.0
2019-11-18,125000.0,126000.0,124500.0,126000.0
2019-11-19,125000.0,126000.0,124500.0,125000.0
2019-11-20,124500.0,124500.0,123500.0,124500.0
2019-11-21,124000.0,124500.0,123000.0,124500.0
2019-11-22,124000.0,125500.0,123500.0,123500.0
2019-11-25,124000.0,125500.0,123500.0,125000.0
2019-11-26,124500.0,125500.0,122500.0,122500.0
2019-11-27,123000.0,124000.0,123000.0,123500.0
2019-11-28,123500.0,125000.0,123000.0,124000.0
2019-11-29,123500.0,124500.0,120000.0,121000.0
2019-12-02,121000.0,121500.0,118500.0,121500.0
2019-12-03,120000.0,121500.0,119000.0,121500.0
2019-12-04,120000.0,124000.0,120000.0,122000.0
2019-12-05,121500.0,122500.0,117500.0,118000.0
2019-12-06,118500.0,119500.0,118000.0,118500.0
2019-12-09,119500.0,120500.0,119000.0,119500.0
2019-12-10,119500.0,120500.0,119000.0,120000.0
2019-12-11,120500.0,120500.0,119000.0,119000.0
2019-12-12,119500.0,120500.0,119000.0,120000.0
2019-12-13,121500.0,122500.0,119500.0,121000.0
2019-12-16,120500.0,121000.0,119000.0,119000.0
2019-12-17,119500.0,123000.0,119000.0,122000.0
2019-12-18,122000.0,123500.0,120500.0,123000.0
2019-12-19,122500.0,123500.0,122000.0,123500.0
2019-12-20,124000.0,124000.0,122500.0,124000.0
2019-12-23,124000.0,125000.0,122000.0,122500.0
2019-12-24,123000.0,123000.0,121500.0,122000.0
2019-12-26,122500.0,123000.0,121500.0,122500.0
2019-12-27,121000.0,121000.0,120000.0,120500.0
2019-12-30,120500.0,121500.0,120000.0,120500.0
2020-01-02,121000.0,121000.0,118000.0,118000.0
2020-01-03,118500.0,119000.0,115000.0,116000.0
2020-01-06,116000.0,117000.0,115500.0,116000.0
2020-01-07,116500.0,117000.0,115500.0,115500.0
2020-01-08,115000.0,115500.0,111500.0,112000.0
2020-01-09,113000.0,114500.0,110000.0,111500.0
2020-01-10,112500.0,114500.0,112000.0,113500.0
2020-01-13,113500.0,115500.0,113000.0,115000.0
2020-01-14,115500.0,117000.0,115500.0,116000.0
2020-01-15,116000.0,116000.0,114000.0,115000.0
2020-01-16,117000.0,120000.0,116500.0,118500.0
2020-01-17,118500.0,120000.0,118000.0,118500.0
2020-01-20,119500.0,119500.0,117500.0,118000.0
2020-01-21,118000.0,118500.0,116500.0,117000.0
2020-01-22,117500.0,127000.0,117500.0,127000.0
2020-01-23,130000.0,131500.0,128000.0,130500.0
2020-01-28,127000.0,132500.0,127000.0,131000.0
2020-01-29,132000.0,133000.0,129000.0,131000.0
2020-01-30,130000.0,130500.0,126500.0,127500.0
2020-01-31,128500.0,129500.0,124500.0,125000.0
2020-02-03,123000.0,125000.0,121000.0,123500.0
2020-02-04,123500.0,126000.0,122500.0,124000.0
2020-02-05,125000.0,126000.0,123500.0,124000.0
2020-02-06,125500.0,133000.0,125500.0,132000.0
2020-02-07,130500.0,131000.0,127500.0,131000.0
2020-02-10,129500.0,132000.0,129000.0,130000.0
2020-02-11,131000.0,135000.0,130500.0,132500.0
2020-02-12,132500.0,137500.0,132500.0,136000.0
