,회사명,종목코드
277,아주스틸,139990
278,애경케미칼,161000
279,에스케이바이오팜,326030
280,에이리츠,140910
281,에코프로머티,450080
282,엔에이치엔,181710
283,영흥,12160
284,예스코홀딩스,15360
285,우성,6980
286,유니드,14830
287,유화증권,3460
288,이구산업,25820
289,이노션,214320
290,이리츠코크렙,88260
291,이마트,139480
292,이스타코,15020
293,일진하이솔루스,271940
294,제이에스코퍼레이션,194370
295,제일기획,30000
296,종근당바이오,63160
297,지역난방공사,71320
298,진도,88790
299,진양홀딩스,100250
300,카프로,6380
301,케이씨씨글라스,344820
302,콘텐트리중앙,36420
303,크래프톤,259960
304,태광산업,3240
305,태평양물산,7980
306,텔코웨어,78000
307,티와이홀딩스,363280
308,포스코인터내셔널,47050
309,하이스틸,71090
310,한국가스공사,36460
311,한국수출포장공업,2200
312,한국앤컴퍼니,240
313,한국자산신탁,123890
314,한국주강,25890
315,한솔홀딩스,4150
316,한신기계공업,11700
317,한온시스템,18880
318,한일시멘트,300720
319,한창제지,9460
320,한화갤러리아,452260
321,한화리츠,451800
322,해태제과식품,101530
323,현대글로비스,86280
324,현대오토에버,307950
325,현대제철,4020
326,화승알앤에이,378850
327,효성 ITX,94280
328,휴니드테크놀러지스,5870
329,CJ대한통운,120
330,DB손해보험,5830
331,DB하이텍,990
332,E1,17940
333,F&F,383220
334,HD현대,267250
335,HD현대일렉트릭,267260
336,HMM,11200
337,KPX홀딩스,92230
338,LG화학,51910
339,LIG넥스원,79550
340,NH투자증권,5940
341,SBS,34120
342,SH에너지화학,2360
343,SK스퀘어,402340
344,SK오션플랜트,100090
345,SK증권,1510
346,SK텔레콤,17670
347,WISCOM,24070
348,경인양행,12610
349,경인전자,9140
350,교촌에프앤비,339770
351,기신정기,92440
352,까뮤이앤씨,13700
353,넥센타이어,2350
354,대덕,8060
355,대림비앤코,5750
356,대양금속,9190
357,대우부품,9320
358,대웅제약,69620
359,대창,12800
360,대한항공,3490
361,대호에이엘,69460
362,동화약품,20
363,두산밥캣,241560
364,두산퓨얼셀,336260
365,디아이동일,1530
366,디아이씨,92200
367,디와이,13570
368,롯데관광개발,32350
369,롯데에너지머티리얼즈,20150
370,마스턴프리미어리츠,357430
371,맵스리얼티1,94800
372,메리츠금융지주,138040
373,미래아이앤지,7120
374,미래에셋글로벌리츠,396690
375,미래에셋생명,85620
376,백광산업,1340
377,부산산업,11390
378,부산주공,5030
379,사조산업,7160
380,삼일씨엔에스,4440
381,삼화왕관,4450
382,서연,7860
383,세아특수강,19440
384,세우글로벌,13000
385,세진중공업,75580
386,신성통상,5390
387,신한서부티엔디리츠,404990
388,써니전자,4770
389,쏘카,403550
390,아세아제지,2310
391,에넥스,11090
392,에스엠벡셀,10580
393,에스제이엠,123700
394,엔피씨,4250
395,영보화학,14440
396,영원무역,111770
397,용평리조트,70960
398,우신시스템,17370
399,우진플라임,49800
400,유안타증권,3470
401,유진증권,1200
402,이수페타시스,7660
403,이엔플러스,74610
404,이연제약,102460
405,인스코비,6490
406,제주은행,6220
407,조광페인트,4910
408,주성코퍼레이션,109070
409,지엠비코리아,13870
410,참엔지니어링,9310
411,케이씨씨,2380
412,키움증권,39490
413,태경산업,15890
414,태경케미컬,6890
415,티웨이항공,91810
416,팜스코,36580
417,페이퍼코리아,1020
418,평화산업,90080
419,포스코DX,22100
420,플레이그램,9810
421,한국전력공사,15760
422,한국제지,27970
423,한국철강,104700
424,한국콜마,161890
425,한미글로벌,53690
426,한미반도체,42700
427,한신공영,4960
428,한양증권,1750
429,한진중공업홀딩스,3480
430,한화투자증권,3530
431,현대모비스,12330
432,현대퓨처넷,126560
433,화승코퍼레이션,13520
434,황금에스티,32560
435,효성중공업,298040
436,CJ,1040
437,ESR켄달스퀘어리츠,365550
438,HJ중공업,97230
439,HL홀딩스,60980
440,JW중외제약,1060
441,JW홀딩스,96760
442,KG스틸,16380
443,KIB플러그에너지,15590
444,KISCO홀딩스,1940
445,LG디스플레이,34220
446,LX세미콘,108320
447,LX인터내셔널,1120
448,OCI홀딩스,10060
449,SK바이오사이언스,302440
450,SK하이닉스,660
451,기아,270
452,남양유업,3920
453,남해화학,25860
454,대동전자,8110
455,대상,1680
456,대성홀딩스,16710
457,대한제강,84010
458,대한제당,1790
459,더존비즈온,12510
460,덴티움,145720
461,동국제강,460860
462,동원시스템즈,14820
463,명신산업,9900
464,모나미,5360
465,모두투어리츠,204210
466,미창석유공업,3650
467,백광산업,1340
468,범양건영,2410
469,벽산,7210
470,부국철강,26940
471,비비안,2070
472,비상교육,100220
473,삼성생명,32830
474,삼아알미늄,6110
475,삼영,3720
476,삼화전기,9470
477,샘표,7540
478,서흥,8490
479,성안,11300
480,세아베스틸지주,1430
481,시알홀딩스,480
482,신라교역,4970
483,신영와코루,5800
484,신영증권,1720
485,신원,9270
486,신풍제약,19170
487,아모레퍼시픽,90430
488,아모레퍼시픽그룹,2790
489,아세아시멘트,183190
490,아시아나IDT,267850
491,아이에스동서,10780
492,에스디바이오센서,137310
493,에스엘,5850
494,에어부산,298690
495,에이블씨엔씨,78520
496,에이프로젠바이오로직스,3060
497,에이플러스에셋,244920
498,엘브이엠씨,900140
499,유니온,910
500,유한양행,100
501,이건산업,8250
502,이월드,84680
503,인바이오젠,101140
504,인천도시가스,34590
505,인팩,23810
506,일진전기,103590
507,일진하이솔루스,271940
508,제일연마,1560
509,조광피혁,4700
510,조선선재,120030
511,카카오,35720
512,카카오페이,377300
513,케이비아이동국실업,1620
514,케이씨텍,281820
515,케이카,381970
516,코리안리,3690
517,코오롱모빌리티그룹,450140
518,코오롱플라스틱,138490
519,쿠쿠홀딩스,192400
520,크라운제과,264900
521,크라운해태홀딩스,5740
522,태림포장,11280
523,태원물산,1420
524,티에이치엔,19180
525,퍼스텍,10820
